,precision,recall,f1-score,support
No K (0),0.9994,0.9739,0.9865,613706.0
K (1),0.5722,0.9824,0.7232,21794.0
accuracy,0.9742,0.9742,0.9742,0.9742
macro avg,0.7858,0.9782,0.8548,635500.0
weighted avg,0.9847,0.9742,0.9774,635500.0
