,precision,recall,f1-score,support
No K (0),0.876,0.9467,0.91,1500.0
K (1),0.9425,0.8671,0.9032,1512.0
accuracy,0.9067,0.9067,0.9067,0.9067
macro avg,0.9092,0.9069,0.9066,3012.0
weighted avg,0.9094,0.9067,0.9066,3012.0
