,precision,recall,f1-score,support
No K (0),0.882,0.921,0.9011,633.0
K (1),0.918,0.8777,0.8974,638.0
accuracy,0.8993,0.8993,0.8993,0.8993
macro avg,0.9,0.8994,0.8993,1271.0
weighted avg,0.9001,0.8993,0.8993,1271.0
