,precision,recall,f1-score,support
No K (0),0.9997,0.9673,0.9832,613706.0
K (1),0.5181,0.9914,0.6805,21794.0
accuracy,0.9681,0.9681,0.9681,0.9681
macro avg,0.7589,0.9793,0.8319,635500.0
weighted avg,0.9832,0.9681,0.9728,635500.0
