,precision,recall,f1-score,support
No K (0),0.9229,0.918,0.9205,1500.0
K (1),0.9191,0.9239,0.9215,1512.0
accuracy,0.921,0.921,0.921,0.921
macro avg,0.921,0.921,0.921,3012.0
weighted avg,0.921,0.921,0.921,3012.0
