,precision,recall,f1-score,support
No K (0),0.9994,0.9704,0.9847,613706.0
K (1),0.5414,0.9843,0.6986,21794.0
accuracy,0.9709,0.9709,0.9709,0.9709
macro avg,0.7704,0.9774,0.8416,635500.0
weighted avg,0.9837,0.9709,0.9749,635500.0
